A	[A]	ax
ELVES	[ELVES]	eh l v z
ELVIS	[ELVIS]	eh l v ix s
EM	[EM]	ax m
EMAIL	[EMAIL]	ix m ey l
EMBARRASSING	[EMBARRASSING]	ix m b eh r ax s ix ng
EMERGENCY	[EMERGENCY]	ix m er jh ax n s iy
EMERIL	[EMERIL]	eh m er ax l
EMILY	[EMILY]	eh m ix l iy
EMILY'S	[EMILY'S]	eh m ix l iy z
EMILYELIZABETH	[EMILYELIZABETH]	eh m ix l iy ix l ih z ax b ax th
EMMA	[EMMA]	eh m ax
EMMET	[EMMET]	eh m ix t
EMPTIED	[EMPTIED]	eh m p t iy d
EMPTY	[EMPTY]	eh m p t iy
ENCHANTED	[ENCHANTED]	eh n ch ae n t ix d
ENCYCLOPEDIAS	[ENCYCLOPEDIAS]	ix n s ay k l ax p iy dx iy ax z
END	[END]	eh n d
ENDS	[ENDS]	eh n d z
ENERGETICALLY	[ENERGETICALLY]	eh n er jh eh dx ix k l iy
ENERGY	[ENERGY]	eh n er jh iy
ENG	[ENG]	eh ng
ENGINE	[ENGINE]	eh n jh ax n
ENGINE'S	[ENGINE'S]	eh n jh ax n z
ENGINEER	[ENGINEER]	eh n jh ax n ih r
ENGINES	[ENGINES]	eh n jh ax n z
ENGLISH	[ENGLISH]	ih ng g l ix sh
ENID	[ENID]	iy n ix d
ENJOY	[ENJOY]	eh n jh oy
ENJOYS	[ENJOYS]	eh n jh oy z
ENOUGH	[ENOUGH]	ix n ah f
ENTERED	[ENTERED]	eh n t er d
ENTHUSIASM	[ENTHUSIASM]	ix n th uw z iy ae z ax m
ENTIRE	[ENTIRE]	ix n t ay er
ENVELOPE	[ENVELOPE]	eh n v ax l ow p
EQUALS	[EQUALS]	iy k w ax l z
EQUIPMENT	[EQUIPMENT]	ix k w ih p m ax n t
ERASE	[ERASE]	ix r ey s
ERASED	[ERASED]	ix r ey s t
ERASER	[ERASER]	ix r ey s er
ERASERS	[ERASERS]	ix r ey s er z
ERASING	[ERASING]	ix r ey s ix ng
ERIC	[ERIC]	eh r ix k
ERNIE	[ERNIE]	er n iy
ERNIE'S	[ERNIE'S]	er n iy z
ERRAND	[ERRAND]	eh r ax n d
ERRANDS	[ERRANDS]	eh r ax n d z
ESCALATOR	[ESCALATOR]	eh s k ax l ey dx er
ESCALATORS	[ESCALATORS]	eh s k ax l ey dx er z
ESCAPE	[ESCAPE]	ix s k ey p
ESCAPED	[ESCAPED]	ix s k ey p t
ESHODEH	[ESHODEH]	eh sh ow d eh
ESKIMO	[ESKIMO]	eh s k ax m ow
ESPECIALLY	[ESPECIALLY]	ax s p eh sh l iy
ESTABLISHED	[ESTABLISHED]	ix s t ae b l ix sh t
ESTEEM	[ESTEEM]	ax s t iy m
ESTIMATES	[ESTIMATES]	eh s t ax m ax t s
ETHAN	[ETHAN]	iy th ax n
ETHAN'S	[ETHAN'S]	iy th ax n z
ETHANS	[ETHANS]	iy th ax n z
EV	[EV]	eh v
EVAN	[EVAN]	eh v ax n
EVE	[EVE]	iy v
EVEN	[EVEN]	iy v ix n
EVENING	[EVENING]	iy v n ix ng
EVENINGS	[EVENINGS]	iy v n ix ng z
EVENTS	[EVENTS]	ix v eh n t s
EVENTUALLY	[EVENTUALLY]	ix v eh n ch ax w ax l iy
EVER	[EVER]	eh v er
EVERETT	[EVERETT]	eh v er ax t
EVERY	[EVERY]	eh v er iy
EVERYBODY	[EVERYBODY]	eh v r iy b aa dx iy
EVERYBODY'S	[EVERYBODY'S]	eh v r iy b aa dx iy z
EVERYDAY	[EVERYDAY]	eh v r iy d ey
EVERYONE	[EVERYONE]	eh v r iy w ah n
EVERYONE'S	[EVERYONE'S]	eh v r iy w ah n z
EVERYTHING	[EVERYTHING]	eh v r iy th ih ng
EVERYTHING'S	[EVERYTHING'S]	eh v r iy th ih ng z
EVERYTIME	[EVERYTIME]	eh v r iy t ay m
EVERYWHERE	[EVERYWHERE]	eh v r iy w eh r
EXACT	[EXACT]	ix g z ae k t
EXACTLY	[EXACTLY]	ix g z ae k t l iy
EXAGGERATE	[EXAGGERATE]	ix g z ae jh er ey t
EXCAVATOR	[EXCAVATOR]	eh k s k ax v ey dx er
EXCELLENT	[EXCELLENT]	eh k s ax l ax n t
EXCEPT	[EXCEPT]	ix k s eh p t
EXCITED	[EXCITED]	ix k s ay dx ax d
EXCITING	[EXCITING]	ix k s ay dx ix ng
EXCUSE	[EXCUSE]	ix k s k y uw s
EXCUSED	[EXCUSED]	ix k s k y uw z d
EXERCISE	[EXERCISE]	eh k s er s ay z
EXERCISES	[EXERCISES]	eh k s er s ay z ax z
EXHAUSTED	[EXHAUSTED]	ix g z ao s t ax d
EXHIBIT	[EXHIBIT]	ix g z ih b ix t
EXHIBITS	[EXHIBITS]	ix g z ih b ax t s
EXPECT	[EXPECT]	ix k s p eh k t
EXPECTING	[EXPECTING]	ix k s p eh k t ix ng
EXPENSIVE	[EXPENSIVE]	ix k s p eh n s ix v
EXPERIENCE	[EXPERIENCE]	ix k s p ih r iy ax n s
EXPIRATIONAL	[EXPIRATIONAL]	eh k s p er ey sh ax n ae l
EXPIRED	[EXPIRED]	ix k s p ay r d
EXPLAIN	[EXPLAIN]	ix k s p l ey n
EXPLAINED	[EXPLAINED]	ix k s p l ey n d
EXPLODED	[EXPLODED]	ix k s p l ow dx ax d
EXPLORE	[EXPLORE]	ix k s p l ao r
EXPLORED	[EXPLORED]	ix k s p l ao r d
EXPLORER	[EXPLORER]	ix k s p l ao r er
EXPRESSED	[EXPRESSED]	ix k s p r eh s t
EXPRESSIONS	[EXPRESSIONS]	ix k s p r eh sh ax n z
EXTENDING	[EXTENDING]	ix k s t eh n d ix ng
EXTINCT	[EXTINCT]	ix k s t ih ng k t
EXTRA	[EXTRA]	eh k s t r ax
EXTREMELY	[EXTREMELY]	ix k s t r iy m l iy
EYAUGH	[EYAUGH]	iy y aw
EYE	[EYE]	ay
EYE'S	[EYE'S]	ay z
EYEBALL	[EYEBALL]	ay b ao l
EYEBROW	[EYEBROW]	ay b r aw
EYEBROWS	[EYEBROWS]	ay b r aw z
EYED	[EYED]	ay d
EYES	[EYES]	ay z
EYESIGHT	[EYESIGHT]	ay s ay t
F	[F]	eh f
FABULOUS	[FABULOUS]	f ae b y ax l ax s
FACE	[FACE]	f ey s
FACECLOTH	[FACECLOTH]	f ey s k l ao th
FACED	[FACED]	f ey s t
FACES	[FACES]	f ey s ax z
FACIAL	[FACIAL]	f ey sh ax l
FACT	[FACT]	f ae k t
FACTORY	[FACTORY]	f ae k t er iy
FADDLE	[FADDLE]	f ae dx ax l
FADED	[FADED]	f ey dx ax d
FAFOLLY	[FAFOLLY]	f aa f aa l iy
FAIMA	[FAIMA]	f aa iy m ax
FAIR	[FAIR]	f eh r
FAIRLY	[FAIRLY]	f eh r l iy
FAIRY	[FAIRY]	f eh r iy
FAITHFUL	[FAITHFUL]	f ey th f ax l
FAKALLI	[FAKALLI]	f aa k ax l iy
FAKE	[FAKE]	f ey k
FAKER	[FAKER]	f ey k er
FALICKYALA	[FALICKYALA]	f ax l ih k y ax l ah
FALICKYALI	[FALICKYALI]	f ax l ih k y ax l iy
FALL	[FALL]	f ao l
FALLEN	[FALLEN]	f aa l ax n
FALLING	[FALLING]	f aa l ix ng
FALLS	[FALLS]	f ao l z
FAMILY	[FAMILY]	f ae m ax l iy
FAMILY'S	[FAMILY'S]	f ae m ax l iy z
FAMOUS	[FAMOUS]	f ey m ax s
FAN	[FAN]	f ae n
FAN'S	[FAN'S]	f ae n z
FANA	[FANA]	f aa n aa
FANCY	[FANCY]	f ae n s iy
FANNY	[FANNY]	f ae n iy
FANTAILED	[FANTAILED]	f ae n t ey l eh d
FANTASTIC	[FANTASTIC]	f ae n t ae s t ix k
FAR	[FAR]	f aa r
FARM	[FARM]	f aa r m
FARM'S	[FARM'S]	f aa r m z
FARMER	[FARMER]	f aa r m er
FARMER'S	[FARMER'S]	f aa r m er z
FARMERS	[FARMERS]	f aa r m er z
FARTHER	[FARTHER]	f aa r dh er
FASCINATED	[FASCINATED]	f ae s ax n ey dx ax d
FASHION	[FASHION]	f ae sh ax n
FASHIONED	[FASHIONED]	f ae sh ax n d
FAST	[FAST]	f ae s t
FASTA	[FASTA]	f aa s t ah
FASTENED	[FASTENED]	f ae s ax n d
FASTER	[FASTER]	f ae s t er
FASTIDIOUS	[FASTIDIOUS]	f ae s t ih dx iy ax s
FASUF	[FASUF]	f aa s ah f
FAT	[FAT]	f ae t
FATHER	[FATHER]	f aa dh er
FATHER'S	[FATHER'S]	f aa dh er z
FATTEN	[FATTEN]	f ae t ax n
FAUCET	[FAUCET]	f ao s ax t
FAULT	[FAULT]	f ao l t
FAVOR	[FAVOR]	f ey v er
FAVORITE	[FAVORITE]	f ey v er ix t
FAVORS	[FAVORS]	f ey v er z
FEAR	[FEAR]	f ih r
FEARED	[FEARED]	f ih r d
FEAT	[FEAT]	f iy t
FEATHER	[FEATHER]	f eh dh er
FEATHERS	[FEATHERS]	f eh dh er z
FEATHERY	[FEATHERY]	f eh dh er iy
FEBRUARY	[FEBRUARY]	f eh b y ax w eh r iy
FED	[FED]	f eh d
FEE	[FEE]	f iy
FEED	[FEED]	f iy d
FEEDER	[FEEDER]	f iy dx er
FEEDING	[FEEDING]	f iy dx ix ng
FEEDS	[FEEDS]	f iy d z
FEEL	[FEEL]	f iy l
FEELING	[FEELING]	f iy l ix ng
FEELS	[FEELS]	f iy l z
FEET	[FEET]	f iy t
FEFF	[FEFF]	f eh f
FEFFER	[FEFFER]	f eh f er
FEGAN	[FEGAN]	f eh g ax n
FELIX	[FELIX]	f iy l ix k s
FELIX'S	[FELIX'S]	f iy l ix k s ix z
FELL	[FELL]	f eh l
FELLOW	[FELLOW]	f eh l ow
FELLOWS	[FELLOWS]	f eh l ow z
FELT	[FELT]	f eh l t
FENCE	[FENCE]	f eh n s
FERN	[FERN]	f er n
FERNS	[FERNS]	f er n z
FERRY	[FERRY]	f eh r iy
FERRYBOAT	[FERRYBOAT]	f eh r iy b ow t
FETCH	[FETCH]	f eh ch
FETCHES	[FETCHES]	f eh ch ix z
FETI	[FETI]	f eh t iy
FEVANS	[FEVANS]	f eh v ae n z
FEVER	[FEVER]	f iy v er
FEW	[FEW]	f y uw
FIDDLE	[FIDDLE]	f ih dx ax l
FIDDLES	[FIDDLES]	f ih dx ax l z
FIELD	[FIELD]	f iy l d
FIELDS	[FIELDS]	f iy l d z
FIELDTRIP	[FIELDTRIP]	f iy l d t r ih p
FIEND	[FIEND]	f iy n d
FIERCE	[FIERCE]	f ih r s
FIESTA	[FIESTA]	f iy eh s t ax
FIFER	[FIFER]	f ay f er
FIFI	[FIFI]	f iy f iy
FIFTEEN	[FIFTEEN]	f ix f t iy n
FIFTEENTH	[FIFTEENTH]	f ix f t iy n th
FIFTH	[FIFTH]	f ih f th
FIFTIES	[FIFTIES]	f ih f t iy z
FIFTY	[FIFTY]	f ih f t iy
FIGHT	[FIGHT]	f ay t
FIGHTER	[FIGHTER]	f ay dx er
FIGHTER'S	[FIGHTER'S]	f ay dx er z
FIGHTERS	[FIGHTERS]	f ay dx er z
FIGHTING	[FIGHTING]	f ay dx ix ng
FIGHTS	[FIGHTS]	f ay t s
FIGURE	[FIGURE]	f ih g y er
FIGURED	[FIGURED]	f ih g y er d
FIGURING	[FIGURING]	f ih g y er ix ng
FILL	[FILL]	f ih l
FILLED	[FILLED]	f ih l d
FILLIE	[FILLIE]	f ih l iy
FILLING	[FILLING]	f ih l ix ng
FILLS	[FILLS]	f ih l z
FILM	[FILM]	f ih l m
FILMED	[FILMED]	f ih l m d
FILTER	[FILTER]	f ih l t er
FILTHY	[FILTHY]	f ih l th iy
FINAL	[FINAL]	f ay n ax l
FINALE	[FINALE]	f ax n ae l iy
FINALLY	[FINALLY]	f ay n ax l iy
FIND	[FIND]	f ay n d
FINDERS	[FINDERS]	f ay n d er z
FINDING	[FINDING]	f ay n d ix ng
FINDS	[FINDS]	f ay n d z
FINE	[FINE]	f ay n
FINGER	[FINGER]	f ih ng g er
FINGERNAIL	[FINGERNAIL]	f ih ng g er n ey l
FINGERPAINT	[FINGERPAINT]	f ih ng g er p ey n t
FINGERS	[FINGERS]	f ih ng g er z
FINGERTIP	[FINGERTIP]	f ih ng g er t ih p
FINGIES	[FINGIES]	f ih n g iy z
FINISH	[FINISH]	f ih n ix sh
FINISHED	[FINISHED]	f ih n ix sh t
FINISHES	[FINISHES]	f ih n ix sh ix z
FINISHING	[FINISHING]	f ih n ix sh ix ng
FINS	[FINS]	f ih n z
FIRE	[FIRE]	f ay er
FIRE'S	[FIRE'S]	f ay er z
FIREBOAT	[FIREBOAT]	f ay er b ow t
FIREENGINE	[FIREENGINE]	f ay er eh n jh ax n
FIREFIGHTER	[FIREFIGHTER]	f ay r f ay dx er
FIREFIGHTER'S	[FIREFIGHTER'S]	f ay r f ay dx er z
FIREFIGHTERS	[FIREFIGHTERS]	f ay er f ay dx er z
FIREFLIES	[FIREFLIES]	f ay er f l ay z
FIREHOUSE	[FIREHOUSE]	f ay er hh aw s
FIREHYDRANT	[FIREHYDRANT]	f ay er hh ay d r ax n t
FIREMEN	[FIREMEN]	f ay r m ax n
FIREPLACE	[FIREPLACE]	f ay er p l ey s
FIRETRUCK	[FIRETRUCK]	f ay er t r ah k
FIREWORKS	[FIREWORKS]	f ay r w er k s
FIRM	[FIRM]	f er m
FIRST	[FIRST]	f er s t
FISH	[FISH]	f ih sh
FISHERMAN	[FISHERMAN]	f ih sh er m ae n
FISHES	[FISHES]	f ih sh ax z
FISHFACE	[FISHFACE]	f ih sh f ey s
FISHIES	[FISHIES]	f ay sh ay z
FISHING	[FISHING]	f ih sh ix ng
FISHSTICKS	[FISHSTICKS]	f ih sh s t ih k s
FISHTOY	[FISHTOY]	f ih sh t oy
FISHY	[FISHY]	f ih sh iy
FISTED	[FISTED]	f ih s t ix d
FISTS	[FISTS]	f ih s t s
FIT	[FIT]	f ih t
FITS	[FITS]	f ih t s
FITTING	[FITTING]	f ih dx ix ng
FIVE	[FIVE]	f ay v
FIX	[FIX]	f ih k s
FIXABLE	[FIXABLE]	f ih k s ax b ax l
FIXATED	[FIXATED]	f ih k s ey dx ix d
FIXED	[FIXED]	f ih k s t
FIXER	[FIXER]	f ih k s er
FIXING	[FIXING]	f ih k s ix ng
FIXIT	[FIXIT]	f ih k s ih t
FLA	[FLA]	f l ae
FLAFLA	[FLAFLA]	f l aa f l aa
FLAG	[FLAG]	f l ae g
FLAGS	[FLAGS]	f l ae g z
FLAHA	[FLAHA]	f l aa hh aa
FLAKE	[FLAKE]	f l ey k
FLAKES	[FLAKES]	f l ey k s
FLAME	[FLAME]	f l ey m
FLAMENCO	[FLAMENCO]	f l ax m eh ng k ow
FLAMES	[FLAMES]	f l ey m z
FLAMINGO	[FLAMINGO]	f l ax m ih ng g ow
FLAMINGOS	[FLAMINGOS]	f l ax m ih ng g ow z
FLAP	[FLAP]	f l ae p
FLAPPED	[FLAPPED]	f l ae p t
FLAPPING	[FLAPPING]	f l ae p ix ng
FLAPS	[FLAPS]	f l ae p s
FLASH	[FLASH]	f l ae sh
FLASHCARDS	[FLASHCARDS]	f l ae sh k aa r d z
FLASHED	[FLASHED]	f l ae sh t
FLASHES	[FLASHES]	f l ae sh ix z
FLASHING	[FLASHING]	f l ae sh ix ng
FLASHLIGHT	[FLASHLIGHT]	f l ae sh l ay t
FLASHY	[FLASHY]	f l ae sh iy
FLAT	[FLAT]	f l ae t
FLATTEN	[FLATTEN]	f l ae t ax n
FLAVOR	[FLAVOR]	f l ey v er
FLAVORED	[FLAVORED]	f l ey v er d
FLAX	[FLAX]	f l ae k s
FLEA	[FLEA]	f l iy
FLEAS	[FLEAS]	f l iy z
FLEE	[FLEE]	f l iy
FLEECE	[FLEECE]	f l iy s
FLEP	[FLEP]	f l eh p
FLEW	[FLEW]	f l uw
FLICKER	[FLICKER]	f l ih k er
FLIES	[FLIES]	f l ay z
FLIGHT	[FLIGHT]	f l ay t
FLIGHTS	[FLIGHTS]	f l ay t s
FLING	[FLING]	f l ih ng
FLIP	[FLIP]	f l ih p
FLIPPED	[FLIPPED]	f l ih p t
FLIPPERS	[FLIPPERS]	f l ih p er z
FLIPPING	[FLIPPING]	f l ih p ix ng
FLO	[FLO]	f l ow
FLOAT	[FLOAT]	f l ow t
FLOATING	[FLOATING]	f l ow dx ix ng
FLOATS	[FLOATS]	f l ow t s
FLOODS	[FLOODS]	f l ah d z
FLOOR	[FLOOR]	f l ao r
FLOP	[FLOP]	f l aa p
FLOPPIES	[FLOPPIES]	f l aa p iy z
FLOPPY	[FLOPPY]	f l aa p iy
FLOPPY'S	[FLOPPY'S]	f l aa p iy z
FLOPPYS	[FLOPPYS]	f l aa p iy z
FLORA	[FLORA]	f l ao r ax
FLORIDA	[FLORIDA]	f l ao r ax dx ax
FLOSSY	[FLOSSY]	f l aa s iy
FLOSSY'S	[FLOSSY'S]	f l aa s iy z
FLOUR	[FLOUR]	f l aw er
FLOWA	[FLOWA]	f l aw er
FLOWER	[FLOWER]	f l aw er
FLOWER'S	[FLOWER'S]	f l aw er z
FLOWERED	[FLOWERED]	f l aw er d
FLOWERPOT	[FLOWERPOT]	f l aw er p aa t
FLOWERS	[FLOWERS]	f l aw er z
FLOWERS'	[FLOWERS']	f l aw er z
FLOWN	[FLOWN]	f l ow n
FLOWS	[FLOWS]	f l ow z
FLUFF	[FLUFF]	f l ah f
FLUFFY	[FLUFFY]	f l ah f iy
FLUORIDE	[FLUORIDE]	f l uh r ay d
FLUP	[FLUP]	f l uh p
FLUSHING	[FLUSHING]	f l ah sh ix ng
FLUTE	[FLUTE]	f l uw t
FLUTTERBY	[FLUTTERBY]	f l ah dx er b ay
FLUTTERING	[FLUTTERING]	f l ah dx er ix ng
FLUTTERS	[FLUTTERS]	f l ah dx er z
FLY	[FLY]	f l ay
FLYING	[FLYING]	f l ay ix ng
FOAMY	[FOAMY]	f ow m iy
FOCUS	[FOCUS]	f ow k ax s
FOCUSED	[FOCUSED]	f ow k ax s t
FOE	[FOE]	f ow
FOFAMA	[FOFAMA]	f ow f aa m ax
FOFANA	[FOFANA]	f ow f aa n ax
FOG	[FOG]	f aa g
FOGGY	[FOGGY]	f aa g iy
FOLD	[FOLD]	f ow l d
FOLDED	[FOLDED]	f ow l d ax d
FOLDING	[FOLDING]	f ow l d ix ng
FOLK	[FOLK]	f ow k
FOLLOW	[FOLLOW]	f aa l ow
FOLLOWED	[FOLLOWED]	f aa l ow d
FOLLOWING	[FOLLOWING]	f aa l ow ix ng
FOLLOWS	[FOLLOWS]	f aa l ow z
FOLLOWUP	[FOLLOWUP]	f aa l ow ah p
FOLLY	[FOLLY]	f aa l iy
FOND	[FOND]	f aa n d
FONE	[FONE]	f ow n
FOOD	[FOOD]	f uw d
FOODS	[FOODS]	f uw d z
FOOEY	[FOOEY]	f uw iy
FOOF	[FOOF]	f uw f
FOOFY	[FOOFY]	f uw f iy
FOOL	[FOOL]	f uw l
FOOLED	[FOOLED]	f uw l d
FOOLING	[FOOLING]	f uw l ix ng
FOOT	[FOOT]	f uh t
FOOTBALL	[FOOTBALL]	f uh t b ao l
FOOTBALLS	[FOOTBALLS]	f uh t b ao l z
FOOTPRINTS	[FOOTPRINTS]	f uh t p r ih n t s
FOOTREST	[FOOTREST]	f uh t r eh s t
FOOTSTEPS	[FOOTSTEPS]	f uh t s t eh p s
FOR	[FOR]	f ao r
FOREHEAD	[FOREHEAD]	f ao r hh eh d
FOREST	[FOREST]	f ao r ax s t
FORESTS	[FORESTS]	f ao r ax s t s
FOREVER	[FOREVER]	f er eh v er
FORGET	[FORGET]	f er g eh t
FORGETS	[FORGETS]	f er g eh t s
FORGETTING	[FORGETTING]	f er g eh dx ix ng
FORGOT	[FORGOT]	f er g aa t
FORK	[FORK]	f ao r k
FORKLIFT	[FORKLIFT]	f ao r k l ih f t
FORMAL	[FORMAL]	f ao r m ax l
FORMATION	[FORMATION]	f ao r m ey sh ax n
FORMS	[FORMS]	f ao r m z
FORT	[FORT]	f ao r t
FORTH	[FORTH]	f ao r th
FORTUNATELY	[FORTUNATELY]	f ao r ch ax n ax t l iy
FORTY	[FORTY]	f ao r dx iy
FORWARD	[FORWARD]	f ao r w er d
FORWARDED	[FORWARDED]	f ao r w er dx ix d
FORWARDS	[FORWARDS]	f ao r w er d z
FOR_A	[FOR_A]	f er
FOUGHT	[FOUGHT]	f ao t
FOUND	[FOUND]	f aw n d
FOUR	[FOUR]	f ao r
FOURTEEN	[FOURTEEN]	f ao r t iy n
FOURTEENTH	[FOURTEENTH]	f ao r t iy n th
FOURTH	[FOURTH]	f ao r th
FOURTHIRTY	[FOURTHIRTY]	f ao r th er dx iy
FOX	[FOX]	f aa k s
FOX'S	[FOX'S]	f aa k s ax z
FOXES	[FOXES]	f aa k s ax z
FOXY	[FOXY]	f aa k s iy
FRAIL	[FRAIL]	f r ey l
FRAME	[FRAME]	f r ey m
FRAMES	[FRAMES]	f r ey m z
FRAN	[FRAN]	f r ae n
FRANCES	[FRANCES]	f r ae n s ix s
FRANCES'S	[FRANCES'S]	f r ae n s ix s ix z
FRANCIS	[FRANCIS]	f r ae n s ax s
FRANCISCO	[FRANCISCO]	f r ae n s ih s k ow
FRANK	[FRANK]	f r ae ng k
FRANKIE	[FRANKIE]	f r ae ng k iy
FRANKLIN	[FRANKLIN]	f r ae ng k l ix n
FREAK	[FREAK]	f r iy k
FREAKING	[FREAKING]	f r iy k ix ng
FREAKS	[FREAKS]	f r iy k s
FRED	[FRED]	f r eh d
FRED'S	[FRED'S]	f r eh d z
FREDDIE	[FREDDIE]	f r eh dx iy
FREDDY	[FREDDY]	f r eh dx iy
FREE	[FREE]	f r iy
FREEDOM	[FREEDOM]	f r iy dx ax m
FREEZE	[FREEZE]	f r iy z
FREEZER	[FREEZER]	f r iy z er
FREEZING	[FREEZING]	f r iy z ix ng
FREIGHT	[FREIGHT]	f r ey t
FRENCH	[FRENCH]	f r eh n ch
FRENCHFRIES	[FRENCHFRIES]	f r eh n ch f r ay z
FRENCHTOAST	[FRENCHTOAST]	f r eh n ch t ow s t
FRENCHTOAST_A	[FRENCHTOAST_A]	f r eh n sh t ow s t
FRENZY	[FRENZY]	f r eh n z iy
FREQUENCY	[FREQUENCY]	f r iy k w ax n s iy
FREQUENT	[FREQUENT]	f r iy k w ax n t
FREQUENTLY	[FREQUENTLY]	f r iy k w ax n t l iy
FRESH	[FRESH]	f r eh sh
FRESHLY	[FRESHLY]	f r eh sh l iy
FRIDAY	[FRIDAY]	f r ay dx iy
FRIDGE	[FRIDGE]	f r ih jh
FRIDGIDARE	[FRIDGIDARE]	f r ih jh ax d eh r
FRIEND	[FRIEND]	f r eh n d
FRIEND'S	[FRIEND'S]	f r eh n d z
FRIENDLY	[FRIENDLY]	f r eh n d l iy
FRIENDS	[FRIENDS]	f r eh n d z
FRIENDS'	[FRIENDS']	f r eh n d z
FRIES	[FRIES]	f r ay z
FRIGHTENED	[FRIGHTENED]	f r ay t ax n d
FRIJOLES	[FRIJOLES]	f r iy hh ow l ey s
FROG	[FROG]	f r aa g
FROG'S	[FROG'S]	f r aa g z
FROGGY	[FROGGY]	f r aa g iy
FROGLETS	[FROGLETS]	f r aa g l eh t s
FROGS	[FROGS]	f r aa g z
FROM	[FROM]	f r ah m
FROMAGE	[FROMAGE]	f r ah m aa sh
FRONT	[FRONT]	f r ah n t
FRONTEND	[FRONTEND]	f r ah n t eh n d
FRONTLOADER	[FRONTLOADER]	f r ah n t l ow dx er
FRONTPACKS	[FRONTPACKS]	f r ah n t p ae k s
FROST	[FROST]	f r ao s t
FROSTING	[FROSTING]	f r ao s t ix ng
FROZEN	[FROZEN]	f r ow z ax n
FRUIT	[FRUIT]	f r uw t
FRUITLOOPS	[FRUITLOOPS]	f r uw t l uw p s
FRUITS	[FRUITS]	f r uw t s
FRUMBLE	[FRUMBLE]	f r ah m b ax l
FRUSTRATED	[FRUSTRATED]	f r ah s t r ey dx ax d
FRUSTRATES	[FRUSTRATES]	f r ah s t r ey t s
FRUSTRATING	[FRUSTRATING]	f r ah s t r ey dx ix ng
FRUSTRATION	[FRUSTRATION]	f r ax s t r ey sh ax n
FRY	[FRY]	f r ay
FTWO	[FTWO]	eh f t uw
FUDGE	[FUDGE]	f ah jh
FUGI	[FUGI]	f uw jh iy
FULL	[FULL]	f uh l
FULLFAT	[FULLFAT]	f uh l f ae t
FUN	[FUN]	f ah n
FUNCTIONING	[FUNCTIONING]	f ah ng k sh ax n ix ng
FUNHOUSE	[FUNHOUSE]	f ah n hh aw s
FUNK	[FUNK]	f ah ng k
FUNNIEST	[FUNNIEST]	f ah n iy ax s t
FUNNY	[FUNNY]	f ah n iy
FUNNYFACE	[FUNNYFACE]	f ah n iy f ey s
FUNS	[FUNS]	f ah n z
FUR	[FUR]	f er
FURIOUS	[FURIOUS]	f y uh r iy ax s
FURNACE	[FURNACE]	f er n ax s
FURNITURE	[FURNITURE]	f er n ix ch er
FURRY	[FURRY]	f er iy
FURTHER	[FURTHER]	f er dh er
FURY	[FURY]	f y uh r iy
FUSS	[FUSS]	f ah s
FUSSA	[FUSSA]	f ah s ax
FUSSER	[FUSSER]	f ah s er
FUSSING	[FUSSING]	f ah s ix ng
FUSSY	[FUSSY]	f ah s iy
FUTILE	[FUTILE]	f y uw dx ax l
FUTOMAKI	[FUTOMAKI]	f uw t ow m aa k iy
FUZZ	[FUZZ]	f ah z
FUZZY	[FUZZY]	f ah z iy
G	[G]	jh iy
G'S	[G'S]	jh iy z
GA	[GA]	g aa
GABBY	[GABBY]	g ae b iy
GABBY'S	[GABBY'S]	g ae b iy z
GABI	[GABI]	g ae b iy
GABIL	[GABIL]	g ae b ih l
GABY	[GABY]	g ae b iy
GABY'S	[GABY'S]	g ae b iy z
GADARE	[GADARE]	g ax d eh r
GAGGLED	[GAGGLED]	g ax g ax l d
GAGI	[GAGI]	g aa g iy
GAL	[GAL]	g ae l
GAME	[GAME]	g ey m
GAMES	[GAMES]	g ey m z
GAMS	[GAMS]	g ae m z
GANGLY	[GANGLY]	g ae ng l iy
GANGSTER	[GANGSTER]	g ae ng s t er
GANOBOO	[GANOBOO]	g aa n uh b uw
GARAGE	[GARAGE]	g er aa zh
GARAGEDOOR	[GARAGEDOOR]	g er aa zh d ao r
GARBAGE	[GARBAGE]	g aa r b ix jh
GARDEN	[GARDEN]	g aa r d ax n
GARDENER	[GARDENER]	g aa r d ax n er
GARLIC	[GARLIC]	g aa r l ix k
GARLICS	[GARLICS]	g aa r l ix k s
GAS	[GAS]	g ae s
GASHA	[GASHA]	g ae sh ax
GASPARD	[GASPARD]	g ax s p aa r d
GASPED	[GASPED]	g ae s p t
GASPUMP	[GASPUMP]	g ae s p ah m p
GASSTATION	[GASSTATION]	g ae s s t ey sh ax n
GATE	[GATE]	g ey t
GATES	[GATES]	g ey t s
GAUDY	[GAUDY]	g ao dx iy
GAVE	[GAVE]	g ey v
GAY	[GAY]	g ey
GAZED	[GAZED]	g ey z d
GAZING	[GAZING]	g ey z ix ng
GEAR	[GEAR]	g ih r
GEARED	[GEARED]	g ih r d
GEESE	[GEESE]	g iy s
GEETA	[GEETA]	g iy t aa
GENABA	[GENABA]	g ih n ax b ax
GENEMA	[GENEMA]	jh eh n ih m aa
GENERAL	[GENERAL]	jh eh n er ax l
GENERALIZING	[GENERALIZING]	jh eh n er ax l ay z ix ng
GENERALLY	[GENERALLY]	jh eh n er ax l iy
GENERIC	[GENERIC]	jh ax n eh r ix k
GENIE	[GENIE]	jh iy n iy
GENIUS	[GENIUS]	jh iy n y ax s
GENOBUH	[GENOBUH]	g eh n ow b ax
